dlPFC, rostralmiddlefrontal, caudalmiddlefrontal
dmPFC, superiorfrontal
OFC, lateralorbitofrontal, medialorbitofrontal
vlPFC, parstriangularis, parsopercularis, parsorbitalis
temporal-lobe, inferiortemporal, middletemporal, superiortemporal, transversetemporal
rACC, rostralanteriorcingulate
dACC, caudalanteriorcingulate
